,artist,streamable,image,mbid,album,name,url,date
42,"{'mbid': 'fba04e6d-4d39-4c0d-87dd-eee24023e458', '#text': 'Artesia'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/c3d08349b3b8823bd79b2ed3401d8c50.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/c3d08349b3b8823bd79b2ed3401d8c50.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/c3d08349b3b8823bd79b2ed3401d8c50.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c3d08349b3b8823bd79b2ed3401d8c50.jpg'}]",3d341577-a0ce-30a8-854a-e96a2a988b86,"{'mbid': 'a9a8e8c6-f2df-4d73-9ee9-56f183428033', '#text': 'Wanderings'}",A l'ombre des grandes forêts,https://www.last.fm/music/Artesia/_/A+l%27ombre+des+grandes+for%C3%AAts,"{'uts': '1664032031', '#text': '24 Sep 2022, 15:07'}"
43,"{'mbid': 'a7246e01-44e5-4a68-9e6c-8c06ecfc7565', '#text': 'Osi And The Jupiter'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/3364ee56213bb53e04dae88d96064722.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/3364ee56213bb53e04dae88d96064722.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/3364ee56213bb53e04dae88d96064722.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/3364ee56213bb53e04dae88d96064722.jpg'}]",1f007361-0da5-4432-a62b-62126feacff5,"{'mbid': '54cf216d-17ec-49fc-aef3-6651f58ce6f0', '#text': 'Stave'}",Wights,https://www.last.fm/music/Osi+And+The+Jupiter/_/Wights,"{'uts': '1664031858', '#text': '24 Sep 2022, 15:04'}"
44,"{'mbid': 'e52c3c7a-1ded-49e0-91d3-f627658b3d8a', '#text': 'Heilung'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/d580dd6040d8bb2832d72cc937127026.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/d580dd6040d8bb2832d72cc937127026.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/d580dd6040d8bb2832d72cc937127026.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d580dd6040d8bb2832d72cc937127026.png'}]",924c0a6e-c71a-4ed8-8483-df6acf4ffaa0,"{'mbid': 'ad2b7ded-0903-4560-a6ae-fc210c1a2fea', '#text': 'Drif'}",Buslas Bann,https://www.last.fm/music/Heilung/_/Buslas+Bann,"{'uts': '1664031653', '#text': '24 Sep 2022, 15:00'}"
45,"{'mbid': '', '#text': 'Robin Carolan'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}]",,"{'mbid': '', '#text': 'The Northman (Original Motion Picture Soundtrack)'}",Entering the Temple,https://www.last.fm/music/Robin+Carolan/_/Entering+the+Temple,"{'uts': '1664031349', '#text': '24 Sep 2022, 14:55'}"
46,"{'mbid': '', '#text': 'EMIAN'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6f31548bef6d6edddab47e3f2f00e10d.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6f31548bef6d6edddab47e3f2f00e10d.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6f31548bef6d6edddab47e3f2f00e10d.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6f31548bef6d6edddab47e3f2f00e10d.jpg'}]",64f855a1-02aa-48a9-b328-40b6d61d687e,"{'mbid': 'd2a6be25-658f-4733-ada2-8f622e68a658', '#text': 'Khymeia'}",Tribus Hirpeis,https://www.last.fm/music/EMIAN/_/Tribus+Hirpeis,"{'uts': '1664031234', '#text': '24 Sep 2022, 14:53'}"
47,"{'mbid': '6635218e-2c5e-4ff5-9fc2-a9f835cacff5', '#text': 'Eliwagar'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/264d579c43c9468babd33febf6067fba.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/264d579c43c9468babd33febf6067fba.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/264d579c43c9468babd33febf6067fba.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/264d579c43c9468babd33febf6067fba.jpg'}]",7a9a4b1b-c381-4592-9b85-cd4210d98310,"{'mbid': '34b665d8-69cb-45cc-87aa-466e27ab4ef1', '#text': 'Fra Hjertet Av Norden'}",Isfjell,https://www.last.fm/music/Eliwagar/_/Isfjell,"{'uts': '1664031159', '#text': '24 Sep 2022, 14:52'}"
48,"{'mbid': 'a7246e01-44e5-4a68-9e6c-8c06ecfc7565', '#text': 'Osi And The Jupiter'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/d7cb5951c0530660883f978c91ea8490.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/d7cb5951c0530660883f978c91ea8490.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/d7cb5951c0530660883f978c91ea8490.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d7cb5951c0530660883f978c91ea8490.jpg'}]",261ecfea-aab0-49ed-927e-65091fcfcc09,"{'mbid': 'eeaa2d97-09cb-461c-a00f-afff29217abc', '#text': 'Nordlige Rúnaskog'}",Grå Hest,https://www.last.fm/music/Osi+And+The+Jupiter/_/Gr%C3%A5+Hest,"{'uts': '1664031062', '#text': '24 Sep 2022, 14:51'}"
49,"{'mbid': 'e52c3c7a-1ded-49e0-91d3-f627658b3d8a', '#text': 'Heilung'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/d580dd6040d8bb2832d72cc937127026.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/d580dd6040d8bb2832d72cc937127026.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/d580dd6040d8bb2832d72cc937127026.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d580dd6040d8bb2832d72cc937127026.png'}]",91ce6844-1f48-4514-8cb4-b8339368612c,"{'mbid': 'ad2b7ded-0903-4560-a6ae-fc210c1a2fea', '#text': 'Drif'}",Nikkal,https://www.last.fm/music/Heilung/_/Nikkal,"{'uts': '1664030872', '#text': '24 Sep 2022, 14:47'}"
0,"{'mbid': '', '#text': 'Robin Carolan'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/7aae181a9cc64b3fc5daa5a19838e5e3.jpg'}]",,"{'mbid': '', '#text': 'The Northman (Original Motion Picture Soundtrack)'}",The Land of the Rus,https://www.last.fm/music/Robin+Carolan/_/The+Land+of+the+Rus,"{'uts': '1664030688', '#text': '24 Sep 2022, 14:44'}"
1,"{'mbid': '', '#text': 'Vǫluspá'}",0,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/1daf94ce5310857a85bfde1d20df29a5.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/1daf94ce5310857a85bfde1d20df29a5.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/1daf94ce5310857a85bfde1d20df29a5.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1daf94ce5310857a85bfde1d20df29a5.jpg'}]",,"{'mbid': '', '#text': 'Trollbunden'}",Alföðr,https://www.last.fm/music/V%C7%ABlusp%C3%A1/_/Alf%C3%B6%C3%B0r,"{'uts': '1664030585', '#text': '24 Sep 2022, 14:43'}"
